date,time,.00,TotalAcc,RInt
07/20/2023,03:21:04,0.00,0.00,12.01,0.00
07/20/2023,03:22:03
07/20/2023,03:22:03,0.00,0.00,12.01,0.00
07/20/2023,03:23:04,0.00,0.00,12.01,0.00
07/20/2023,03:24:03,0.00,0.00,12.01,0.00
07/20/2023,03:24:03,0.00,0.00,12.01,0.00
07/20/2023,03:25:03,0.00,0.00,12.01,0.00
07/20/2023,03:25:03,0.00,0.00,12.01,0.00
07/20/2023,03:25:03,0.00,0.00,12.01,0.00
07/20/2023,03:26:04,0.00,0.00,12.01,0.00
07/20/2023,03:26:04,0.00,0.00,12.01,0.00
07/20/2023,03:27:03,0.00,0.00,12.01,0.00
07/20/2023,03:27:03,0.00,0.00,12.01,0.00
07/20/2023,03:27:04,0.00,0.00,12.01,0.00
07/20/2023,03:28:03,0.00,0.00,12.01,0.00
07/20/2023,03:28:32,0.00,0.00,12.01,0.00
07/20/2023,03:29:03,0.00,0.00,12.01,0.00
07/20/2023,03:29:04,0.00,0.00,12.01,0.00
07/20/2023,03:30:04,0.00,0.00,12.01,0.00
07/20/2023,03:30:04,0.00,0.00,12.01,0.00
07/20/2023,03:30:33,0.00,0.00,12.01,0.00
07/20/2023,03:31:03,0.00,0.00,12.01,0.00
07/20/2023,03:31:04,0.00,0.00,12.01,0.00
07/20/2023,03:31:04,0.00,0.00,12.01,0.00
07/20/2023,03:32:03,0.00,0.00,12.01,0.00
07/20/2023,03:32:03,0.00,0.00,12.01,0.00
07/20/2023,03:33:03,0.00,0.00,12.01,0.00
07/20/2023,03:34:04,0.00,0.00,12.01,0.00
07/20/2023,03:34:04,0.00,0.00,12.01,0.00
07/20/2023,03:34:33,0.00,0.00,12.01,0.00
07/20/2023,03:35:32,0.00,0.00,12.01,0.00
07/20/2023,03:36:04,0.00,0.00,12.01,0.00
07/20/2023,03:37:03,0.00,0.00,12.01,0.00
07/20/2023,03:37:04,0.00,0.00,12.01,0.00
07/20/2023,03:38:04,0.00,0.00,12.01,0.00
